date,base_value,open_value,lock_value,high_value,low_value,overall_market_value
2013-2-5,1195.58,1194.18,1205.01,1205.51,1192.41,427598819
2013-2-4,1195.19,1194.51,1195.58,1199,1189.63,423849729
2013-2-3,1177.36,1194.43,1195.19,1195.32,1192.23,424313767
2013-01-31,1176.67,1175.51,1177.36,1181.8,1172.55,419654319
2013-01-30,1186.5,1188.65,1176.67,1192.4,1174.22,420890516
2013-01-29,1197.34,1196.95,1186.5,1197.95,1182.07,424396699
2013-01-28,1192.81,1193.5,1197.34,1198.88,1189.26,427320551
2013-01-27,1196.34,1205.99,1192.81,1207.07,1192.48,425689353
2013-01-24,1204.65,1196.94,1196.34,1200.65,1190.8,427920007
2013-01-23,1193.01,1204.43,1204.65,1214.69,1201.81,428977981
2013-01-21,1189.26,1188.19,1193.01,1193.43,1179.08,425179410
2013-01-20,1207.67,1203.17,1189.26,1204.56,1189.17,423148257
2013-01-17,1208.65,1206.98,1207.67,1208.54,1203.91,428106219
2013-01-16,1210.24,1208.99,1208.65,1211.39,1199.89,428987438
2013-01-15,1219.33,1217.9,1210.24,1221.9,1208.74,429412366
2013-01-14,1217.76,1220.89,1219.33,1225.76,1216.47,431381870
2013-01-13,1224.11,1219.23,1217.76,1221.05,1216.09,431606789
2013-1-10,1210.26,1216.65,1224.11,1224.3,1206.68,434836079
2013-1-9,1203.97,1206.25,1210.26,1210.26,1204.96,430864973
2013-1-8,1206.78,1202.62,1203.97,1209.36,1201.29,428115938
2013-1-7,1216.39,1213.9,1206.78,1214.46,1205.41,429310392
2013-1-6,1210.62,1220.24,1216.39,1222.41,1215.9,431382038
2013-1-3,1221.31,1216.79,1210.62,1217.45,1207.13,426013867
2013-1-2,1214.59,1218.6,1221.31,1223.53,1217.13,428308204
